k,num_removed_kmers,paper_limit,num_queries,paper_title,query_time,ratio,hashmap_build_time
3,100,60000000,10,Fast recommendation on bibliographic networks with sparse-matrix ordering and partitioning.,16.486464977264404,"(143, '-', 111)",242.2071077823639
3,100,60000000,10,Recommendation on Academic Networks using Direction Aware Citation Analysis.,16.31216311454773,"(127, '-', 126)",242.2071077823639
3,100,60000000,10,Market sentiments and convergence dynamics in decentralized assignment economies.,10.253150939941406,"(103, '-', 95)",242.2071077823639
3,100,60000000,10,"Axiomatizing the Harsanyi solution, the symmetric egalitarian solution and the consistent solution for NTU-games.",19.37876057624817,"(232, '-', 173)",242.2071077823639
4,100,60000000,10,Fast recommendation on bibliographic networks with sparse-matrix ordering and partitioning.,5.362333536148071,"(90, '-', 65)",364.24673795700073
4,100,60000000,10,Recommendation on Academic Networks using Direction Aware Citation Analysis.,6.417744874954224,"(92, '-', 79)",364.24673795700073
4,100,60000000,10,Market sentiments and convergence dynamics in decentralized assignment economies.,2.6144845485687256,"(80, '-', 52)",364.24673795700073
4,100,60000000,10,"Axiomatizing the Harsanyi solution, the symmetric egalitarian solution and the consistent solution for NTU-games.",6.9580237865448,"(160, '-', 114)",364.24673795700073
5,100,60000000,10,Fast recommendation on bibliographic networks with sparse-matrix ordering and partitioning.,3.174592971801758,"(87, '-', 51)",258.180216550827
5,100,60000000,10,Recommendation on Academic Networks using Direction Aware Citation Analysis.,3.8557865619659424,"(81, '-', 48)",258.180216550827
5,100,60000000,10,Market sentiments and convergence dynamics in decentralized assignment economies.,1.2629377841949463,"(77, '-', 32)",258.180216550827
5,100,60000000,10,"Axiomatizing the Harsanyi solution, the symmetric egalitarian solution and the consistent solution for NTU-games.",3.555943012237549,"(147, '-', 63)",258.180216550827
